"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.09409017917705e-18,-0.732367423460015,1,1,6.04417248415873e-14,"Control","mz-731.607241951189"
2.21556096047185e-18,-2.23486614325353,0.517,1,6.3947736002099e-14,"Control","mz-453.281713022985"
3.17946069990387e-18,-0.606087276316666,1,1,9.17687741813254e-14,"Control","mz-695.460221242197"
3.73714416527386e-18,-2.45544943150838,0.317,0.967,1.07865192042299e-13,"Control","mz-422.227308708112"
6.28308576033339e-18,-2.31324086001951,0.483,1,1.81348704300503e-13,"Control","mz-453.277180228519"
9.15114807465912e-18,-0.36183268974568,1,1,2.64129586878886e-13,"Control","mz-766.483993302829"
9.76015750575775e-18,-2.48642446652733,0.25,0.933,2.81707426088686e-13,"Control","mz-489.210963796752"
1.00254500228525e-17,0.300375265005203,1,1,2.89364564009593e-13,"Control","mz-822.479711325882"
1.04930152304957e-17,-0.89741735206166,1,1,3.02859898597798e-13,"Control","mz-753.586504645292"
1.09820879402586e-17,-0.344596392127968,1,1,3.16976004219683e-13,"Control","mz-780.55391513229"
1.44259537392473e-17,0.304324825788663,1,1,4.16376302775895e-13,"Control","mz-794.452990251463"
1.80940612443779e-17,0.725256367074216,1,1,5.2224888969648e-13,"Control","mz-821.567265347503"
2.37255407929731e-17,0.607390416948327,1,1,6.84790283907582e-13,"Control","mz-754.574349863738"
3.55536981676795e-17,1.46717479849343,1,0.967,1.02618639021373e-12,"Control","mz-223.074058057042"
3.66046431678559e-17,-2.24091641262232,0.533,0.983,1.05651981575382e-12,"Control","mz-472.243062162808"
3.71881681377399e-17,0.61380550170808,1,1,1.07336209695959e-12,"Control","mz-860.52598715101"
5.65957575608634e-17,-2.47228313914616,0.417,0.933,1.6335233504792e-12,"Control","mz-489.225640345814"
6.07782910482403e-17,-0.689981418834558,1,1,1.75424381452536e-12,"Control","mz-731.59992591535"
6.31074718900335e-17,1.80672458211408,0.983,0.9,1.82147096116204e-12,"Control","mz-223.071827327615"
6.6433137061847e-17,-0.354319116184146,1,1,1.91745963501609e-12,"Control","mz-756.553926773774"
6.94520693652634e-17,0.808056476772262,1,1,2.0045950780896e-12,"Control","mz-739.536630636219"
8.5107674398649e-17,-2.5715492227411,0.267,0.9,2.45646280616821e-12,"Control","mz-422.23153100231"
9.06232964884629e-17,0.437052434858321,1,1,2.6156602065465e-12,"Control","mz-830.479973731442"
1.08153407639424e-16,0.499814160293475,1,1,3.1216318046967e-12,"Control","mz-1353.89894363275"
1.12180571674023e-16,-2.39143278564172,0.3,0.917,3.23786784022733e-12,"Control","mz-449.238449743674"
1.13034439622646e-16,0.6054793824087,1,1,3.26251303082844e-12,"Control","mz-780.592943803756"
1.23457230802223e-16,0.435607179782362,1,1,3.56334605264455e-12,"Control","mz-718.534567675053"
1.25241139669295e-16,-2.2033231798536,0.467,0.95,3.61483501427486e-12,"Control","mz-488.204226506743"
1.29018414136154e-16,-0.143252705999956,1,1,3.72385848721182e-12,"Control","mz-771.513226285263"
1.34826439054313e-16,0.181946368679443,1,1,3.89149551042465e-12,"Control","mz-604.102457547677"
1.40892094896133e-16,-0.430850613134967,1,1,4.06656853498709e-12,"Control","mz-752.52469642444"
2.22431809415874e-16,-2.58063173083364,0.2,0.867,6.42004931517036e-12,"Control","mz-450.245871762537"
2.49036479300273e-16,0.421155876665289,1,1,7.18793990204379e-12,"Control","mz-766.537649060291"
3.09653994260424e-16,-0.630715785224393,1,1,8.93754323633862e-12,"Control","mz-707.398258723624"
3.22066300535386e-16,-1.99444224491931,0.683,0.983,9.29579963235284e-12,"Control","mz-446.23415044216"
4.38172472988226e-16,-0.472841052594872,1,1,1.26469720878592e-11,"Control","mz-726.496608882023"
4.98871365760995e-16,-0.236805443155044,1,1,1.43989242299596e-11,"Control","mz-771.505511191575"
5.92854429080905e-16,0.623446010306242,1,1,1.71115573865622e-11,"Control","mz-1191.84024412576"
5.92854429080905e-16,0.5953852696102,1,1,1.71115573865622e-11,"Control","mz-1383.82103142357"
8.01074734177815e-16,-0.443584891948849,1,1,2.31214200525743e-11,"Control","mz-280.093595019463"
8.16618414598549e-16,-2.33157664162936,0.233,0.883,2.35700573005579e-11,"Control","mz-380.187219864161"
8.36182065960084e-16,0.28307882125312,1,1,2.41347229698059e-11,"Control","mz-598.929452218535"
8.36182065960084e-16,-1.32451596185967,1,1,2.41347229698059e-11,"Control","mz-864.631855063108"
9.76926726805945e-16,-2.32676170616175,0.233,0.883,2.81970361158e-11,"Control","mz-382.196095250157"
9.92416926528952e-16,0.521486552176756,1,1,2.86441297504051e-11,"Control","mz-868.514095499241"
1.03891191573782e-15,-2.05160789434055,0.267,0.917,2.99861146239408e-11,"Control","mz-462.202827474076"
1.08098596855004e-15,0.3262513060679,1,1,3.12004980102597e-11,"Control","mz-805.500493479259"
1.17733153614043e-15,1.11486528161964,1,1,3.39813201276213e-11,"Control","mz-820.549153298384"
1.33791465727488e-15,0.444942094721691,1,1,3.8616230752925e-11,"Control","mz-273.041504629853"
1.72651077807426e-15,-0.140333792471873,1,1,4.98322805875575e-11,"Control","mz-758.569039130274"
1.87926744599412e-15,0.368044496501004,1,1,5.42412962937282e-11,"Control","mz-792.524813169091"
1.87926744599412e-15,0.259188463149727,1,1,5.42412962937282e-11,"Control","mz-953.885664044773"
1.89693039650083e-15,-2.29871913396604,0.267,0.9,5.47511020342033e-11,"Control","mz-448.255694048992"
1.90516977508827e-15,-2.31764928305397,0.233,0.883,5.49889152183727e-11,"Control","mz-470.226181061119"
2.04531745625633e-15,-0.272685025376453,1,1,5.90339977399265e-11,"Control","mz-812.498294605118"
2.04531745625633e-15,0.541536550287717,1,1,5.90339977399265e-11,"Control","mz-1381.81594496697"
2.42194074068972e-15,0.506150180102712,1,1,6.99044755985274e-11,"Control","mz-828.514066713682"
2.56946884710859e-15,-2.19549380932175,0.267,0.867,7.41625793340954e-11,"Control","mz-382.199917230219"
2.8666697971807e-15,-0.176270105882662,1,1,8.27406903560264e-11,"Control","mz-810.599271319487"
3.09554823959023e-15,-1.94304343788174,0.5,0.933,8.93468088392928e-11,"Control","mz-487.209305049582"
3.11827216412442e-15,-1.1565672389989,1,1,9.00026894731232e-11,"Control","mz-848.638936771263"
3.84634820785331e-15,0.680490764826042,1,1,1.1101714832327e-10,"Control","mz-355.232965555125"
4.18234562566327e-15,0.444052549973954,1,1,1.20715041793519e-10,"Control","mz-901.584539973488"
4.73091659776678e-15,-1.84923160837609,0.35,0.967,1.36548445761343e-10,"Control","mz-453.27264747938"
4.74289055045708e-15,-2.09150875072003,0.267,0.867,1.36894049957843e-10,"Control","mz-450.272887325302"
7.18926344251e-15,0.199257642657819,1,1,2.07503710741166e-10,"Control","mz-606.09928861675"
7.18926344251e-15,-0.957029278027377,1,1,2.07503710741166e-10,"Control","mz-689.560070490491"
7.81091956471036e-15,0.695146112736525,1,1,2.25446571396235e-10,"Control","mz-613.557396284346"
8.10342381146697e-15,-1.92698826069972,0.3,0.9,2.33889121470371e-10,"Control","mz-447.243780073924"
8.48540938320414e-15,0.590588053618407,1,1,2.44914371027421e-10,"Control","mz-868.531465954856"
1.13291903452505e-14,0.251000522227782,1,1,3.26994420934965e-10,"Control","mz-768.556296435077"
1.28179637578251e-14,-0.244928380836863,1,1,3.69964887942105e-10,"Control","mz-737.446700617305"
1.3915759465511e-14,-0.421792547361617,1,1,4.01650565453043e-10,"Control","mz-837.66127745418"
1.63961280798051e-14,0.644974404664491,1,1,4.73241444767414e-10,"Control","mz-558.320860115266"
1.70812815381402e-14,0.407326877603512,1,1,4.93017029035339e-10,"Control","mz-1183.51465928253"
2.07624913329894e-14,1.57415828548197,0.983,0.817,5.99267787344072e-10,"Control","mz-359.086682668617"
2.56840871441495e-14,-0.255285972000996,1,1,7.41319807241588e-10,"Control","mz-811.596921852521"
2.56840871441495e-14,0.587328785865054,1,1,7.41319807241588e-10,"Control","mz-1214.84747784775"
2.78581033225802e-14,-0.614503471878766,1,1,8.04068436199631e-10,"Control","mz-696.462405360186"
2.78581033225802e-14,0.524709790826688,1,1,8.04068436199631e-10,"Control","mz-828.50578161444"
3.69901884778376e-14,-0.100863686065653,1,1,1.06764781003583e-09,"Control","mz-734.56891375749"
3.69901884778376e-14,-0.338306146724492,1,1,1.06764781003583e-09,"Control","mz-834.592694859149"
3.98755668120579e-14,1.2723645103819,1,0.883,1.15092848489643e-09,"Control","mz-223.076288808776"
4.17524596545878e-14,0.269046115053263,1,1,1.20510124301037e-09,"Control","mz-369.353365262735"
4.17524596545878e-14,-0.751316144833328,1,1,1.20510124301037e-09,"Control","mz-838.616755829685"
4.34700717986833e-14,0.411424968429767,1,1,1.2546766823254e-09,"Control","mz-859.511165348775"
5.3156358543774e-14,-0.548816632793844,1,1,1.53425197664895e-09,"Control","mz-695.467175879183"
5.77616659663557e-14,-2.07941165561856,0.183,0.817,1.66717496478692e-09,"Control","mz-423.233406484292"
5.99560304394897e-14,-0.902114249543316,1,1,1.73051090657499e-09,"Control","mz-689.566966125674"
6.4956973130031e-14,0.541769352618549,1,1,1.87485311545208e-09,"Control","mz-606.547968081259"
8.93977499866169e-14,-0.496621750867706,1,1,2.58028725786372e-09,"Control","mz-779.532058965377"
1.09051612206277e-13,-0.221027984501556,1,1,3.14755668310977e-09,"Control","mz-818.508527540055"
1.09740795527567e-13,-1.95763862757933,0.233,0.85,3.16744858131218e-09,"Control","mz-446.22076361845"
1.27780525459596e-13,0.450745979969935,1,1,3.68812930634033e-09,"Control","mz-639.568554385778"
1.27780525459596e-13,-0.130980504618935,1,1,3.68812930634033e-09,"Control","mz-735.568607117612"
1.43868445658919e-13,0.658819319621427,1,1,4.15247494705337e-09,"Control","mz-607.470622032115"
1.49661116117001e-13,-1.02197355667608,1,1,4.31966879448501e-09,"Control","mz-864.623208787788"
1.55682802920213e-13,0.48022003688804,1,1,4.49347274068611e-09,"Control","mz-869.522156412326"
1.55682802920213e-13,-0.324080498763183,1,1,4.49347274068611e-09,"Control","mz-1490.10790422708"
1.97143992976492e-13,0.330527181583426,1,1,5.69016706928049e-09,"Control","mz-820.45889785566"
1.97143992976492e-13,-0.67802630975888,1,1,5.69016706928049e-09,"Control","mz-1484.0554900744"
2.13240848819508e-13,0.646517364092112,1,1,6.15477061947746e-09,"Control","mz-607.464547356268"
2.13240848819508e-13,-0.299097338550251,1,1,6.15477061947746e-09,"Control","mz-743.474014647929"
3.27723109277446e-13,0.539467531593519,1,1,9.45907210307493e-09,"Control","mz-1385.85674422211"
3.40724581808967e-13,0.308621557939223,1,1,9.8343336047522e-09,"Control","mz-766.529983722127"
3.54232257955612e-13,-0.562314482849787,1,1,1.02242056613728e-08,"Control","mz-856.585223840432"
3.82844231734324e-13,-1.12081504235135,1,1,1.10500330605478e-08,"Control","mz-866.648796109268"
4.33733679641646e-13,-1.75958189311364,0.267,0.85,1.25188551954968e-08,"Control","mz-422.223086456136"
4.43848485308805e-13,1.57372155502469,0.983,0.817,1.2810798831468e-08,"Control","mz-359.090273553398"
4.82994171115786e-13,0.772652417543371,1,1,1.39406607609149e-08,"Control","mz-794.532439522887"
4.82994171115786e-13,-0.947394023013268,1,1,1.39406607609149e-08,"Control","mz-865.644066361686"
4.8971273763612e-13,-1.81786361792738,0.267,0.85,1.41345787463913e-08,"Control","mz-470.230883346441"
5.42304296089864e-13,-1.1429320153123,1,1,1.56525288980417e-08,"Control","mz-865.626753653486"
5.85758180392881e-13,-0.58268673941581,1,1,1.69067383606797e-08,"Control","mz-751.501958456746"
6.32625442010684e-13,0.29668887417577,1,1,1.82594681327544e-08,"Control","mz-867.472503664721"
