"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.00122967626408195,-0.696871909778651,0.317,0.683,1,"Treated","KRT18"
0.0012300762436674,-0.869804020147667,0.067,0.3,1,"Treated","AC069234.2"
0.00123472997091902,-0.368717911789099,0.9,1,1,"Treated","SFT2D2"
0.00123555405475922,-0.368849263719941,0.967,1,1,"Treated","PAF1"
0.00123557829799665,0.310937186195462,1,1,1,"Treated","TMEM43"
0.00123557829799665,0.172301239034741,1,1,1,"Treated","HLA-C"
0.00123557829799665,-0.262516566812469,1,1,1,"Treated","BRD4"
0.00124694506773613,0.408263985037128,0.983,0.983,1,"Treated","MCOLN1"
0.00124874742001613,1.05715799126438,0.7,0.75,1,"Treated","IER5L"
0.00125404136262574,-0.676199090579437,0.317,0.683,1,"Treated","JRK"
0.00125702157379564,-0.671656896214684,0.367,0.75,1,"Treated","MAP7D2"
0.00125835913464592,-0.355036589592955,0.967,0.983,1,"Treated","DHX36"
0.00125843298497424,0.325968551429098,0.967,1,1,"Treated","DAPK3"
0.00125845760238313,0.380937565274955,1,0.983,1,"Treated","AHDC1"
0.00125845760238313,0.282801057386353,1,1,1,"Treated","QDPR"
0.00125878928948363,-0.526824000303173,0.783,0.983,1,"Treated","AL117332.1"
0.00126143649750597,-0.508647954596341,0.767,0.95,1,"Treated","CENPC"
0.00126468165723779,-0.69158440536853,0.417,0.8,1,"Treated","ACE"
0.00126796073076864,0.508525371474964,0.95,0.917,1,"Treated","VPS18"
0.00126917532360189,-0.440004620180391,0.917,0.983,1,"Treated","LINC01088"
0.00127001855105496,-0.325042839861558,0.983,0.983,1,"Treated","PHRF1"
0.00127438697759148,-0.565217130138231,0.433,0.833,1,"Treated","RASSF7"
0.00128172751213852,-0.303613648306717,0.983,1,1,"Treated","LAS1L"
0.00128172751213852,-0.261198952471103,1,1,1,"Treated","PSMD6"
0.00128172751213852,0.356331346976244,1,1,1,"Treated","B4GAT1"
0.00128172751213852,0.283564616803843,1,1,1,"Treated","TP53BP1"
0.00128308910225796,2.14610777444334,0.333,0.117,1,"Treated","CCL2"
0.00129220226794906,-0.572961106486412,0.2,0.533,1,"Treated","DGCR9"
0.00130019393384932,-0.56443294280284,0.383,0.8,1,"Treated","NPC1L1"
0.00130539404386838,-0.34129338928226,0.983,1,1,"Treated","SMG5"
0.00131777154499039,-0.387825611219752,0.8,0.967,1,"Treated","UGGT2"
0.00132085922283224,-0.536709551117923,0.15,0.467,1,"Treated","LRIG3"
0.00132113625597823,1.16144249291118,0.65,0.6,1,"Treated","GPR12"
0.00132635248647816,-0.432099966650452,0.05,0.283,1,"Treated","CHN2"
0.00132802066313308,0.55274969505271,1,0.883,1,"Treated","ADAMTS2"
0.00132946329468945,-0.230443483224512,1,1,1,"Treated","VKORC1"
0.00133080982544708,-0.524281765708463,0.183,0.533,1,"Treated","TPK1"
0.00133577952343573,-0.398378491328339,0.45,0.85,1,"Treated","AL121603.2"
0.0013518027043047,-0.681396655950344,0.25,0.6,1,"Treated","AC099791.2"
0.00135279035949365,-0.412182008519854,0.083,0.35,1,"Treated","AL355870.2"
0.00135341820905041,-0.355858662344096,0.917,1,1,"Treated","ORC3"
0.00135394144309263,-0.122126044825643,1,1,1,"Treated","MORF4L1"
0.00137086907892113,1.19134265599706,0.267,0.05,1,"Treated","AL596257.1"
0.00137188101392739,-0.680796890986471,0.483,0.833,1,"Treated","CNTRL"
0.00137682146607264,-0.533313439529178,0.35,0.733,1,"Treated","TMEM238"
0.00137734764292824,-0.418708647754321,0.883,1,1,"Treated","R3HDM1"
