"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.0605533955952729,0.854086081707177,0.517,0.45,1,"Treated","LRRN4CL"
0.0605974994882307,-0.190040669145128,0.933,1,1,"Treated","CCDC25"
0.0605974994882307,-0.233757291347975,0.933,1,1,"Treated","RCOR1"
0.0606001816176445,0.272766406119994,0.983,0.967,1,"Treated","SAYSD1"
0.0606019697120061,0.252649237537359,0.983,1,1,"Treated","RAP1GDS1"
0.0606019697120061,0.277637292048498,1,0.983,1,"Treated","CRTC1"
0.0606019697120061,-0.245099718168607,0.983,1,1,"Treated","SNHG17"
0.0606019697120061,0.0840224917978658,1,1,1,"Treated","PSMD2"
0.0606019697120061,0.126483798073665,1,1,1,"Treated","RBPJ"
0.0606019697120061,-0.152367289722882,1,1,1,"Treated","UBXN1"
0.0606019697120061,-0.149050778900255,1,1,1,"Treated","RPL18A"
0.0606019697120061,-0.192604828953571,1,1,1,"Treated","TRMU"
0.0606942642707324,-0.216902505515359,0.083,0.217,1,"Treated","AC131238.1"
0.0606942642707324,-0.200256306661995,0.083,0.217,1,"Treated","LINC00663"
0.0606942642707324,-0.221236551343956,0.083,0.217,1,"Treated","AL353194.1"
0.0607962004363704,-0.199395234005522,0.417,0.7,1,"Treated","AC009403.1"
0.0608743377752821,0.680814223241422,0.55,0.533,1,"Treated","ERICH2"
0.060944396059975,-0.271449590986207,0.65,0.867,1,"Treated","HPS5"
0.0609584998981513,-0.228169335443248,0.817,0.9,1,"Treated","HPS3"
0.0611618757744992,0.355872143954572,0.867,0.917,1,"Treated","KLHL17"
0.0612266851097629,0.366556294219091,0.9,0.917,1,"Treated","VAMP7"
0.0612813292676161,-0.169574201492686,0.283,0.533,1,"Treated","HSD3B7"
0.061297637629583,-0.331561353167235,0.183,0.367,1,"Treated","AL161891.1"
0.0613252649589932,0.186282568832178,0.967,1,1,"Treated","ACSL3"
0.0613257151384653,0.249261508754286,0.983,1,1,"Treated","C19orf12"
0.0613257151384653,0.190386624413938,1,1,1,"Treated","DPY19L1"
0.0613257151384653,-0.0757727155811196,1,1,1,"Treated","UQCRFS1"
0.061441502173403,0.56795404007358,0.533,0.483,1,"Treated","DHX58"
0.0614950483007693,-0.310201365670909,0.65,0.883,1,"Treated","NMI"
0.0616767295909453,0.518212132340833,0.7,0.817,1,"Treated","OTUD7A"
0.0616846607928494,-0.149273289122799,0.317,0.6,1,"Treated","ACTN2"
0.0617000019054237,0.70322660940017,0.517,0.483,1,"Treated","CXXC4"
0.0617480661124764,-0.18614457583804,0.133,0.3,1,"Treated","EDNRA"
0.0618200263786125,0.358366104679838,0.817,0.85,1,"Treated","LYRM9"
0.0618532381395353,0.664907513873716,0.617,0.667,1,"Treated","BAALC-AS2"
0.0618706465793625,-0.418463555970252,0.3,0.533,1,"Treated","GNG12"
0.0619383660029405,0.589695866441085,0.617,0.7,1,"Treated","RASGRP1"
0.0619434881426782,-0.42982153490453,0.55,0.8,1,"Treated","MIR17HG"
0.0619568775616143,0.302320243052297,0.883,0.933,1,"Treated","HEATR5B"
0.0619841927650188,0.829378248733228,0.567,0.6,1,"Treated","ARMCX5-GPRASP2"
0.061986791929296,-0.317228664134978,0.733,0.9,1,"Treated","LYAR"
0.0620022052176686,-0.257999680685805,0.883,0.967,1,"Treated","VPS37C"
0.062040736715782,0.325798445649413,0.933,0.967,1,"Treated","RPGRIP1L"
0.0620566034238746,-0.169051238280824,1,1,1,"Treated","QRFPR"
0.0620566034238746,0.170286165435624,1,1,1,"Treated","AIG1"
0.0620566034238746,0.0989495737766726,1,1,1,"Treated","PHYH"
0.0620566034238746,-0.0813278435677627,1,1,1,"Treated","HACD3"
0.0620566034238746,-0.151712740024097,1,1,1,"Treated","CD320"
0.0620566034238746,-0.200372438524694,1,1,1,"Treated","EID2"
0.0621540688096509,0.660876542724217,0.15,0.05,1,"Treated","HLA-F"
0.0622177900532654,0.286708931754593,0.917,0.85,1,"Treated","BBS9"
0.0623266890125238,-0.0794327003971471,0.2,0.417,1,"Treated","FAM151B"
0.0623487871125626,-0.127424994690248,0.217,0.433,1,"Treated","KCNS3"
0.0623660772412059,0.686140247228017,0.583,0.583,1,"Treated","JAK2"
0.0624201925875425,-0.22291321523082,0.95,0.983,1,"Treated","ICE2"
0.0624220167398257,-0.0304890022189594,0.117,0.283,1,"Treated","AC004982.1"
0.0626154880396828,-0.0328797762255428,0.183,0.383,1,"Treated","AC011330.2"
0.062719365795378,-0.195638318709977,0.867,0.967,1,"Treated","TBC1D15"
0.0627264761566303,0.443407868894172,0.767,0.867,1,"Treated","RAB3C"
0.062792858698512,-0.127598390326411,0.95,1,1,"Treated","SRD5A3"
0.0627946847301823,0.135511831419152,0.983,1,1,"Treated","TIMM44"
0.0627946847301823,0.140712272279248,1,1,1,"Treated","TMEM9"
0.0627946847301823,0.168896377795243,1,1,1,"Treated","ERLEC1"
0.0627946847301823,0.16342119630122,1,1,1,"Treated","TUSC2"
0.0627946847301823,0.237937557604548,1,1,1,"Treated","ZNF532"
0.0630162039628303,-0.220857490263938,0.75,0.933,1,"Treated","ENTPD5"
0.0630557945240005,-0.227023594228397,0.167,0.35,1,"Treated","AC010536.1"
0.0630732470101432,-0.136664554480457,0.1,0.25,1,"Treated","SOS1-IT1"
0.0632400682759529,-0.0988339060812908,0.217,0.433,1,"Treated","TRH"
0.0633080725969062,-0.142651541358262,0.25,0.467,1,"Treated","HLA-DMB"
0.0633308907449628,0.247577540867133,0.9,0.867,1,"Treated","EDEM2"
0.0633366940942679,0.559965457798253,0.75,0.75,1,"Treated","AC093157.1"
0.0634226135125867,-0.324364175101155,0.55,0.817,1,"Treated","NOM1"
0.0634604060608076,0.451417675972292,0.65,0.683,1,"Treated","SHISAL2A"
0.0635014519606468,-0.0186388605846268,0.15,0.333,1,"Treated","FOXC1"
0.0635142676791816,-0.241191547445455,0.917,0.967,1,"Treated","SMOC1"
0.0635142676791816,0.306158096304159,0.95,0.933,1,"Treated","HOOK3"
0.0635276403686744,0.47810885888849,0.733,0.817,1,"Treated","PRR7"
0.0635308157462449,-0.219351975374583,0.933,0.983,1,"Treated","TRAF3"
0.0635400093147511,-0.0917147748686384,1,1,1,"Treated","APBB1"
0.0635400093147511,0.191413760117417,1,1,1,"Treated","BIRC2"
0.0635400093147511,-0.155576305017021,1,1,1,"Treated","LTA4H"
0.0636908674563421,0.56997582856923,0.7,0.7,1,"Treated","PDZD2"
0.0638987020401089,-0.221052101994561,0.367,0.667,1,"Treated","AC097376.3"
0.0640721893242912,-0.175581726476531,0.583,0.817,1,"Treated","NAF1"
0.0641139430662208,0.719403660027495,0.483,0.433,1,"Treated","TVP23A"
0.064122374620184,-0.221629657723165,0.183,0.367,1,"Treated","TBC1D8B"
0.0641306402064035,-0.107307332703234,0.45,0.733,1,"Treated","ARAP3"
0.064205716526454,-0.116214764208009,0.1,0.25,1,"Treated","GNAS-AS1"
0.064260433614651,-0.194945149759525,0.083,0.217,1,"Treated","SPEGNB"
0.064260433614651,-0.28431853111394,0.083,0.217,1,"Treated","ZNF236-DT"
0.0642667078518704,0.286915282416361,0.933,0.95,1,"Treated","PARP9"
0.0642879989354387,-0.178166008454602,0.933,1,1,"Treated","ZNF574"
0.0642921646664236,0.222948390688761,0.967,1,1,"Treated","USO1"
0.0642926275271219,-0.193093399084233,0.983,1,1,"Treated","PPP1R8"
0.0642926275271219,-0.161897592651357,1,1,1,"Treated","NCBP2"
0.0642926275271219,0.196463995158419,1,1,1,"Treated","RNF167"
0.0642926275271219,-0.0660491533131422,1,1,1,"Treated","MRPL12"
0.0643017061225402,0.668423222467482,0.167,0.067,1,"Treated","AP000320.1"
0.0643244508083869,-0.339129456357718,0.067,0.183,1,"Treated","DNAJB13"
0.0644743646423014,-0.279535480068921,0.633,0.867,1,"Treated","DPY19L4"
0.0645388678001327,-0.147325346240794,0.85,0.95,1,"Treated","SAV1"
0.0646010256602831,-0.34289391746389,0.733,0.85,1,"Treated","RTN4IP1"
0.0646299064061387,-0.11548018406644,0.45,0.783,1,"Treated","GSPT2"
0.0646299064061387,-0.370209027571815,0.517,0.717,1,"Treated","SPATA5"
0.0646724066333404,-0.367840469452953,0.8,0.917,1,"Treated","EEF1AKMT1"
0.0647475418179249,-0.137690038216175,0.433,0.817,1,"Treated","USP43"
0.064786555205141,0.332817663834545,0.767,0.7,1,"Treated","NUDT19"
0.0647916560286475,0.338091981895544,0.833,0.917,1,"Treated","TVP23B"
0.064908064473229,-0.341703455369494,0.55,0.833,1,"Treated","ASTE1"
0.0649636580672908,0.625560037747551,0.617,0.683,1,"Treated","CLIP4"
0.0649832619359335,-0.0622734092481902,0.267,0.517,1,"Treated","LDLRAP1"
0.0649966667396014,0.302317247616704,0.933,0.917,1,"Treated","USP15"
0.0649985850125993,-0.131773751897111,0.317,0.583,1,"Treated","GAREM1"
0.0650149483466758,-0.229484680351444,0.167,0.35,1,"Treated","AC004477.3"
0.0650525898057357,-0.0579289507898539,1,1,1,"Treated","MARCKS"
0.0650525898057357,-0.0578308851964537,1,1,1,"Treated","SLIRP"
0.0650875098218704,-0.197022780668486,0.183,0.367,1,"Treated","SLCO3A1"
0.0652742891463158,-0.274744127591563,0.467,0.75,1,"Treated","AC010331.1"
0.06542425038559,-0.359771679275008,0.383,0.633,1,"Treated","LIPE"
0.0654306643785646,0.248536444587882,0.95,0.983,1,"Treated","BCL2L2"
0.0656524939907569,-0.375524394525758,0.067,0.183,1,"Treated","NDUFB2-AS1"
0.0656524939907569,-0.355029717580937,0.067,0.183,1,"Treated","PLLP"
0.0658105620440508,0.264810562412987,0.917,1,1,"Treated","STIM2"
0.0658105620440508,-0.132083645502357,0.95,0.967,1,"Treated","SLC25A13"
0.0658152543436724,-0.197008847081738,0.933,1,1,"Treated","TMEM8A"
0.0658180697384795,-0.214347455087776,0.983,0.967,1,"Treated","MEX3D"
0.0658194774401104,-0.171726389846632,0.967,1,1,"Treated","GNG10"
0.0658199466746137,-0.149122595659207,1,1,1,"Treated","METAP2"
0.0658199466746137,0.0648981360400605,1,1,1,"Treated","COX6A1"
0.0658199466746137,0.174889070911023,1,1,1,"Treated","NBEA"
0.0658199466746137,0.14372793201111,1,1,1,"Treated","PIGH"
0.0658199466746137,0.191138347913718,1,1,1,"Treated","AHSA1"
0.0658675693208953,-0.247708950217789,0.733,0.917,1,"Treated","ACER3"
0.0659870992159893,-0.110459519213641,0.7,0.867,1,"Treated","AC006059.1"
0.0660645958386013,-0.155597879695536,0.183,0.367,1,"Treated","IP6K3"
0.0660681241512271,-0.267318802623502,0.5,0.717,1,"Treated","C6orf52"
0.0661287309075517,-0.268121182926289,0.85,0.983,1,"Treated","LCLAT1"
0.0661756562503487,0.534366640566643,0.667,0.667,1,"Treated","VPS37D"
0.0661899349846166,-0.282151530082197,0.917,0.983,1,"Treated","TRIOBP"
0.0662623045464995,-0.240001334643048,0.333,0.567,1,"Treated","CCDC85A"
0.0662775565720583,-0.414634154664729,0.433,0.683,1,"Treated","U47924.2"
0.0662838781086018,0.397557106803712,0.767,0.833,1,"Treated","ZNF547"
0.0664228044615584,0.352360169958697,0.867,0.917,1,"Treated","TRIM25"
0.066513298848002,-0.482953390346002,0.05,0.15,1,"Treated","LENG9"
0.066568293179385,-0.317232783122455,0.883,1,1,"Treated","NR2C2AP"
0.0665947487399949,0.179996348241391,0.983,1,1,"Treated","SLC25A25"
0.0665947487399949,0.135088888030127,0.983,1,1,"Treated","SUGT1"
0.0665947487399949,0.111732480864328,1,0.983,1,"Treated","PRRT2"
0.0665947487399949,0.144421700753701,1,1,1,"Treated","HDHD2"
0.0667326598295663,-0.206508018131302,0.083,0.217,1,"Treated","ATP5MGL"
0.0667457938533123,-0.216016515761571,0.383,0.65,1,"Treated","U2AF1L5"
0.0670094886821133,-0.209888939083123,0.633,0.883,1,"Treated","MNAT1"
0.0670229977435712,-0.275899666498487,0.35,0.617,1,"Treated","HIC2"
0.0670240443995976,-0.136726053603595,0.167,0.35,1,"Treated","ADAMTS20"
0.0670629644982605,0.653192877065008,0.167,0.067,1,"Treated","ACSM1"
0.0671365575372367,0.368441772382111,0.817,0.85,1,"Treated","APOBR"
0.0671983058352907,-0.312865305630664,0.7,0.917,1,"Treated","LY6G5B"
0.0671983058352907,-0.28752490651093,0.717,0.9,1,"Treated","AP4E1"
0.0672039369802173,-0.202103939452216,0.85,0.933,1,"Treated","MAP2K7"
0.0673504119491444,-0.248222259624743,0.883,1,1,"Treated","CRY1"
0.0673634722446901,-0.281600301763437,0.5,0.817,1,"Treated","P2RY11"
0.0673751441759431,0.17783022654664,0.95,1,1,"Treated","CYB561"
0.0673770466869331,-0.163688660692237,0.983,1,1,"Treated","CTDSP2"
0.0673770466869331,-0.159383819883889,1,0.983,1,"Treated","KIAA0100"
0.0673770466869331,-0.141548244809072,1,1,1,"Treated","RPIA"
0.0673770466869331,0.114427976242025,1,1,1,"Treated","SELENOK"
0.0673770466869331,-0.18851206349377,1,1,1,"Treated","SLU7"
0.0673770466869331,0.201814137884037,1,1,1,"Treated","ZSCAN16-AS1"
0.0673770466869331,0.129895615999522,1,1,1,"Treated","ATXN7L3B"
0.0673770466869331,0.124222620998991,1,1,1,"Treated","LGALS3BP"
0.0673770466869331,-0.139675803104635,1,1,1,"Treated","TCF4"
0.0675908287332699,-0.273890517216646,0.633,0.867,1,"Treated","AC048341.1"
0.0677177571135494,-0.330272148042673,0.567,0.8,1,"Treated","KLHL5"
0.0677309361703467,0.432859008778633,0.917,0.95,1,"Treated","SNX29"
0.0679259181559806,-0.354221772599456,0.717,0.95,1,"Treated","HEATR5A"
0.0679978394523239,-0.154573339537241,0.083,0.217,1,"Treated","RNF139-AS1"
0.0680615548136894,0.301176083156198,0.917,0.9,1,"Treated","CITED4"
0.0680981075314802,-0.328707271699709,0.483,0.8,1,"Treated","C1orf216"
0.0681094333874588,-0.219335715899414,0.883,0.967,1,"Treated","SLC25A28"
