row_id,mz,rt.min
47810,385.1378,12.6796
50730,55.0542,12.8691
68231,306.8614,19.4427
32641,232.0613,7.7745
63777,848.7212,19.1627
6802,540.4474,3.3075
2740,632.1894,2.863
60091,345.0475,16.775
58726,283.0245,16.5528
52716,519.1794,14.9017
41038,521.1687,11.1282
60370,299.0918,16.9408
70876,189.1597,21.4216
46137,454.1905,12.3041
51666,336.0875,14.5151
65517,932.7038,19.1707
47908,160.0345,13.167
9782,1119.7298,3.7587
14992,1280.8544,3.0464
33617,275.1103,7.2759
4764,1150.7187,2.923
61080,799.0803,16.2818
51668,507.154,14.5251
18761,548.5404,3.1502
48835,371.113,13.4367
72093,155.1269,22.7874
61364,1101.2444,17.5377
56266,565.048,16.1261
40726,997.3657,11.0982
66761,676.7729,19.3451
56497,246.0286,16.2276
28254,254.117,8.3329
59907,280.9938,16.4761
73199,431.0541,24.1843
52747,1010.1852,14.6791
19724,263.1392,6.1099
9458,395.3307,3.4123
57555,185.9924,16.408
37780,592.3375,8.8768
70193,912.4823,21.2483
70671,576.6362,21.3393
9415,293.1537,3.694
59672,448.9776,16.7437
5072,693.3633,2.8918
48775,255.1011,13.4252
53043,304.1616,15.4292
39884,421.1379,10.2753
73140,431.0496,23.4215
49557,596.2168,13.5795
2730,225.0605,2.9033
3975,604.4727,3.036
30387,328.0938,8.1103
3373,483.3431,3.1251
5021,760.2199,3.0437
42553,299.1272,10.9977
15214,854.5668,3.3335
47260,542.322,12.2802
72179,307.0553,22.9211
41390,543.1508,11.1437
50871,559.1581,14.1557
52785,673.09,14.6163
61034,799.0642,17.6094
39170,667.3331,10.9845
58593,609.0005,16.0121
71506,133.0986,22.4209
58297,735.0316,15.8078
42959,216.0438,10.1188
2981,563.0742,2.9133
41513,342.1693,11.1314
70477,852.4612,21.0503
48000,434.1249,13.1261
16343,470.2972,4.9729
72089,622.9499,22.8794
58921,313.0358,16.7734
45871,118.086,11.8618
27221,525.0901,7.7917
69160,954.6856,19.1684
4663,958.734,3.2166
29803,392.1174,8.4487
1197,1195.8202,2.9105
54952,388.9983,15.7905
57472,122.081,15.7783
34803,608.1587,8.3714
48428,311.0955,13.0843
72055,147.1127,22.8118
46174,476.1721,12.7115
